titre,prix,ville,url
vendre maison s 3,350DT,Bizerte,https://www.tayara.tn/item/68025667c5beda2b51c94a18/Maisons%20et%20Villas/Bizerte/Bizerte/vendre_maison_s_3/
Duplex s+2 à Marina vue dégagée sur le terrain de tennis,1700DT,Monastir,https://www.tayara.tn/item/680126609d6266842d9e59bf/Appartements/Monastir/Monastir/Duplex_s2_Marina_vue_dgage_sur_le_terrain_de_tennis/
Une luxueuse Villa à Vendre à Chotrana 3,Non spécifié,Ariana,https://www.tayara.tn/item/680249a6c5beda2b51c93d51/Maisons%20et%20Villas/Ariana/Chotrana_3/Une_luxueuse_Villa_Vendre_Chotrana_3/
📍 JARDIN D’EL MENZAH 2 : MAGNIFIQUE VILLA A VENDRE,790000DT,Ariana,https://www.tayara.tn/item/68023d26c1f8f57898db2368/Maisons%20et%20Villas/Ariana/Les_Jardins_El_Menzah_2/_JARDIN_DEL_MENZAH_2_MAGNIFIQUE_VILLA_A_VENDRE/
Villa sur un terrain de 350 m² à El Manar I,750000DT,Tunis,https://www.tayara.tn/item/67e5532ffd1c6385be3e9213/Maisons%20et%20Villas/Tunis/El_Manar_1/Villa_sur_un_terrain_de_350_m_El_Manar_I/
Duplex s+1 à Marina,1400DT,Monastir,https://www.tayara.tn/item/680110449d6266842d9e4218/Appartements/Monastir/Monastir/Duplex_s1_Marina_/
A vendre s+3 aux jardins de Carthage,750000DT,Tunis,https://www.tayara.tn/item/680233ebc5beda2b51c9285e/Appartements/Tunis/Jardins_De_Carthage/A_vendre_s3_aux_jardins_de_Carthage_/
Appartement Cité El Wahat,170000DT,Tunis,https://www.tayara.tn/item/67f51cdfca3467b14e77c56e/Appartements/Tunis/Autres_Villes/Appartement_Cit_El_Wahat/
Appartement S+1 Ain cité Wahat Zaghouan,240000DT,Tunis,https://www.tayara.tn/item/675018b40d8480a1e01c8c52/Appartements/Tunis/Ain_Zaghouen/Appartement_S1_Ain_cit_Wahat_Zaghouan/
A vendre un appartement S+3 au 3 éme étage,481000DT,Sousse,https://www.tayara.tn/item/67daaa34ca3467b14e6829f6/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S3_au_3_me_tage/
A vendre un appartement S+3 au RDC,498000DT,Sousse,https://www.tayara.tn/item/67dab03cca3467b14e682ef8/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S3_au_RDC_/
A vendre un appartement s+2 au 4 ème étage,410000DT,Sousse,https://www.tayara.tn/item/67daad08fd1c6385be38a301/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_s2_au_4_me_tage/
A vendre appartement S+2 au 2 éme étage,416000DT,Sousse,https://www.tayara.tn/item/67dab408ca3467b14e6831ee/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_appartement_S2_au_2_me_tage_/
A vendre un appartement S+3 au 2 eme étage,481000DT,Sousse,https://www.tayara.tn/item/67dabb2dfd1c6385be38ae67/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S3_au_2_eme_tage_/
A vendre appartement S+2 au RDC,410000DT,Sousse,https://www.tayara.tn/item/67dab8bafd1c6385be38ac3e/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_appartement_S2_au_RDC_/
A vendre un appartement S+2 au 4éme étage,456000DT,Sousse,https://www.tayara.tn/item/67d7d45cfd1c6385be36e30f/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S2_au_4me_tage/
A vendre un appartement S+1 au 1 er étage,427000DT,Sousse,https://www.tayara.tn/item/67d41e78ca3467b14e6428a4/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S1_au_1_er_tage/
A vendre un appartement S+1 au 5éme étage,411000DT,Sousse,https://www.tayara.tn/item/67d4275fca3467b14e6434bb/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S1_au_5me_tage/
A vendre un appartement S+2 au 4éme étage,429000DT,Sousse,https://www.tayara.tn/item/67d417ebca3467b14e641f93/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S2_au_4me_tage/
A vendre un appartement S+1 au RDC,366000DT,Sousse,https://www.tayara.tn/item/67d2e3adefd14d3d0520ad4c/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S1_au_RDC/
A vendre un appartement S+1 au 5éme étage,481000DT,Sousse,https://www.tayara.tn/item/67d7d3a8fd1c6385be36e292/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S1_au_5me_tage/
A vendre un appartement S+2 au 2éme étage,415000DT,Sousse,https://www.tayara.tn/item/67d422feca3467b14e642e78/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S2_au_2me_tage/
A vendre un appartement S+1 au 5 éme étage,296000DT,Sousse,https://www.tayara.tn/item/67d41689ca3467b14e641d48/Immobilier%20Neuf/Sousse/Chatt_mariem/A_vendre_un_appartement_S1_au_5_me_tage/
A vendre un appartement S+1 au 3éme étage,295000DT,Nabeul,https://www.tayara.tn/item/67cb009f93928ac5bc1895a0/Immobilier%20Neuf/Nabeul/Hammamet/A_vendre_un_appartement_S1_au_3me_tage/
A vendre un appartement S+1 au 2éme étage,290000DT,Nabeul,https://www.tayara.tn/item/67caf5a3119f0ab09bd1c570/Immobilier%20Neuf/Nabeul/Hammamet/A_vendre_un_appartement_S1_au_2me_tage/
A vendre un appartement S+2 au 2éme étage,455000DT,Nabeul,https://www.tayara.tn/item/67caf72e93928ac5bc188ed6/Immobilier%20Neuf/Nabeul/Hammamet/A_vendre_un_appartement_S2_au_2me_tage/
A vendre un appartement S+1 au 1ére étage,285000DT,Nabeul,https://www.tayara.tn/item/67caebee93928ac5bc1886db/Immobilier%20Neuf/Nabeul/Hammamet/A_vendre_un_appartement_S1_au_1re_tage/
A vendre un appartement S+3 au 3éme étage,545000DT,Nabeul,https://www.tayara.tn/item/67cafaa3119f0ab09bd1c8f0/Immobilier%20Neuf/Nabeul/Hammamet/A_vendre_un_appartement_S3_au_3me_tage/
A vendre un appartement S+2 au 3 éme étage,370000DT,Sousse,https://www.tayara.tn/item/67d019f7c68ce6b5539b7e5b/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S2_au_3_me_tage/
A vendre un appartement S+2 au 2éme étage,415000DT,Sousse,https://www.tayara.tn/item/67d0126ac68ce6b5539b7819/Immobilier%20Neuf/Sousse/Sahloul/A_vendre_un_appartement_S2_au_2me_tage/
